id,name,semester,description,school_level,grade_level,chapter_id,chapter_name_1,chapter_name_2,chapter_name_3,achievement_id,achievement_name,skill_id
5814,1부터 5까지의 수,1학기,1부터 5까지의 수를 읽고 셀 수 있다.,초등,초1,1,9까지의 수 , 몇일까요 (1),,1,"50까지의수 개념을이해 하고, 수를 세고 읽고 쓸 수 있다.",8
5485,여섯,1학기,다섯에 하나를 더한 수,초등,초1,3,9까지의 수 , 몇일까요 (2),,1,"50까지의수 개념을이해 하고, 수를 세고 읽고 쓸 수 있다.",9
7581,첫째,1학기,"차례를 매길 때, 맨 처음에 오는 수",초등,초1,5,9까지의 수 , 몇째일까요,,5,"50까지의 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.",24
5834,수의 순서,1학기,"1부터 9까지의 수 1, 2, 3, 4, 5, 6, 7, 8, 9를 순서대로 나타낼 수 있다.",초등,초1,6,9까지의 수 , 수의 순서를 알아볼까요,,1,"50까지의 수 개념을 이해 하고, 수를 세고 읽고 쓸 수 있다.",5
5835,1 큰 수와 1 작은 수,1학기,"수를 순서대로 썼을 때 바로 앞의 수가 1 작은 수, 바로 뒤의 수가 1 큰 수입니다.",초등,초1,7,9까지의 수 , 1만큼 더 큰 수와 1만큼 더 작은 수는 무엇일까요,,1,"50까지의 수 개념을 이해 하고, 수를 세고 읽고 쓸 수 있다.",6
7593,0,1학기,아무것도 없는 것을 0이라 쓰고 영이라고 읽습니다.\n0은 1보다 1작은 수 입니다.,초등,초1,7,9까지의 수 , 1만큼 더 큰 수와 1만큼 더 작은 수는 무엇일까요,,5,"50까지의 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.",25
5836,두 수의 크기 비교하기,1학기,9와 5의 크기를 비교해보면 9는 5보다 큽니다. 5는 9보다 작습니다.,초등,초1,8,9까지의 수 , 어느 수가 더 클까요,,1,"50까지의 수 개념을 이해 하고, 수를 세고 읽고 쓸 수 있다.",7
5844,여러 가지 모양 찾아보기,1학기,"상자 모양, 기둥 모양, 공 모양",초등,초1,9,여러 가지 모양 , 여러 가지 모양을 찾아볼까요,,142,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 그것들을 이용하여 여러 가지 모양을 만들 수 있다.",821
5845,여러 가지 모양 알아보기,1학기,nan,초등,초1,10,여러 가지 모양 , 여러 가지 모양을 알아볼까요,,143,쌓기 나무를 이용하여 여러 가지 입체도형의 모양을 만들 수 있다.,822
5846,여러 가지 모양으로 만들기,1학기,nan,초등,초1,10,여러 가지 모양 , 여러 가지 모양을 알아볼까요,,144,쌓기 나무를 이용하여 만든 모양을 보고 위치나 방향을 이용하여 말할 수 있다.,825
